시군구명,행정동코드,행정동명,지번코드,건물관리번호,경도,위도
영등포구,1156054000,여의동,1156011000200130019,1156011000100130019031091,126.92104776983601,37.530075143753294
강북구,1130553500,미아동,1130510100201210019,1130510100101210019000001,127.026557543462,37.626133124926
강남구,1168061000,대치2동,1168010600209420005,1168010600109420005000001,127.057925714358,37.505764570423295
중구,1114055000,명동,1114055000200250052,1114012400100250052020482,126.983083260827,37.5608556864363
강남구,1168064000,역삼1동,1168010100206970045,1168010100106970045022296,127.04671604196899,37.504953793129296
동작구,1159062000,사당1동,1159010700210310027,1159010700110310027010949,126.98135149187901,37.4784758997485
노원구,1135062100,중계1동,1135010600203600006,1135010600103600006010878,127.07597743114201,37.6504980859283
금천구,1154551000,가산동,1154510100200600020,1154510100100600020014060,126.88506813730899,37.47843551394
노원구,1135069500,상계6.7동,1135010500207120000,1135010500107120000001056,127.060001689909,37.654759905279604
성북구,1129060000,안암동,1129012500201040030,1129012500101040030000001,127.029688991151,37.58391819363
강남구,1168064000,역삼1동,1168010100207980030,1168010100107980030025928,127.039391664754,37.492225610599704
중구,1114055000,명동,1114010400200500000,1114010400100500000019305,126.979941681875,37.5662979098695
구로구,1153051000,신도림동,1153010100206920000,1153010100103600045000001,126.888484621418,37.508058038284105
종로구,1111064000,이화동,1111016800200010038,1111016800100010038032610,127.002715512416,37.5833599952328
강남구,1168064000,역삼1동,1168010100206790000,1168010100106790001026822,127.037277378321,37.5018857412981
용산구,1117068500,한남동,1117013100207370061,1117013100107370061005210,126.99757784334,37.53501151039261
중구,1114055000,명동,1114010700201150000,1114010700101150000020592,126.98321208809901,37.567200132973
구로구,1153054000,구로3동,1153010200202120001,1153010200102120001022938,126.89448759134501,37.4844799519315
서초구,1165053100,서초4동,1165010800216930003,1165010800116930003020137,127.01395530164,37.4942326373696
성동구,1120053500,왕십리도선동,1120010400200580001,1120010400100580001000001,127.03388010250099,37.5627419871963
구로구,1153054000,구로3동,1153010200202350002,1153010200102350002022973,126.89346712375,37.4816050678561
서초구,1165054000,잠원동,1165010600200370007,1165010600100370007019475,127.02062762815201,37.511534314154396
중구,1114055000,명동,1114012200200880000,1114012200100100007000001,126.982911122996,37.5601964424547
중구,1114052000,소공동,1114011100200700000,1114011100100700000022321,126.980757256014,37.5637640159767
강동구,1174054000,명일2동,1174010100200470007,1174010100100470007018700,127.155987402893,37.5540007430118
양천구,1147055000,목5동,1147010200209070004,1147010200109070004016209,126.87853714619499,37.5363828248169
