dong,starbucks,X,Y,subway,pop0,pop10,pop20,pop30,pop40,pop50,pop60,pop70,poptotal,landprice
미아동,1,958084.6154,1958935.538,244.8389383,1022.939923,1609.036846,2433.457385,2159.728423,2335.077731,2742.466692,2584.016962,2770.857808,17657.58177,100.357
반포1동,1,957068.3908,1945113.943,239.907411,1444.593851,1793.501851,2563.395609,2772.016402,2784.473874,2155.329897,2081.254264,2020.526034,17615.09178,100.326
반포2동,0,955637.1795,1945010.538,161.7369548,1677.146487,2470.328103,2506.479308,2856.472051,3560.276128,2892.114051,2804.00359,2973.423282,21740.243,100.326
반포3동,1,956339.3617,1945661.766,259.8591574,1831.459936,2830.386532,4052.879277,4335.627298,4894.230468,4222.368319,3831.742447,3690.345936,29689.04021,100.388
반포4동,1,956303.3333,1944853,279.395127,1348.811,2151.859987,5363.35632,5136.235467,4456.172333,3978.362053,3439.912573,3364.291813,29239.00155,100.326
반포본동,0,954675,1944824,37.50555994,631.5775,1685.85225,1350.50125,1444.6095,2448.166,1737.53325,1653.5615,1891.6075,12843.40875,100.326
발산1동,1,940266.5254,1950510.864,831.6695626,702.2422119,806.1589746,772.9849322,923.4877034,1058.283017,917.8109831,794.0374322,672.1020169,6647.107271,100.3076667
방배1동,1,955850,1942649,246.3157134,855.6483333,1729.191333,2148.392667,2233.072667,2073.135,1742.076333,1732.716,1786.059333,14300.29167,100.453
방배2동,1,954352.1739,1941468.565,453.0283568,597.1227391,623.9932609,1700.696,1423.777435,1168.141087,1260.423391,1136.600348,1021.452522,8932.206783,100.453
방배3동,1,955645.8333,1941897.611,766.3578065,524.9838056,886.2509722,1067.550139,1154.336139,1189.613361,1358.499944,1421.816167,1367.321694,8970.372222,100.453
방이1동,1,966625.9259,1945513.815,417.0627851,1317.992333,1625.53663,1469.907185,1514.405593,1730.046296,1803.988074,1685.993296,1538.316259,12686.18567,100.533
방이2동,1,965715.7143,1946031.143,203.0071946,1695.330429,2098.076943,5113.713229,4923.138286,3675.805443,3434.556229,3056.181757,2857.158543,26853.96086,100.533
방학1동,0,959658.4746,1962879.508,417.972384,1083.346559,1369.378729,1595.112034,1734.822898,1976.436102,2197.087475,2015.488542,2008.081441,13979.75378,100.276
방학2동,0,958708.3333,1962640.667,1204.87617,1235.384333,1600.175333,1703.529167,1729.268333,1948.123,2312.018,2293.3725,2418.430333,15240.301,100.276
방학3동,0,958346.1538,1962568.231,1226.036654,1111.291077,1456.255231,1512.648,1536.633538,1817.826769,2103.681,2068.706923,2231.709,13838.75154,100.276
방화1동,1,939878.3333,1952064.556,252.4435322,418.8679,362.5428333,470.8203333,622.8390444,567.4144111,570.2047889,530.9713667,473.0334222,4016.6941,100.35
방화2동,0,938573.8806,1952207.209,288.5288503,678.7958806,782.1681045,1550.57,1653.584134,1394.633478,1363.458866,1206.236672,1082.577836,9712.02497,100.2505
방화3동,0,939484.6154,1953333.615,362.6906719,1101.994865,1146.299538,1510.116308,2135.477288,1838.615481,1908.296904,1882.351962,1833.140712,13356.29306,100.347
번1동,1,958518,1959879,440.3100614,1031.70604,1489.17184,2788.38796,2303.28308,2349.82908,2482.22064,2397.00744,2560.76684,17402.37292,100.315
번2동,0,959195.4545,1959199,1105.931781,869.3819091,987.8882727,1007.121455,1098.961,1306.842909,1299.16,1359.313364,1441.966727,9370.635636,100.315
번3동,0,959290,1958649,1061.948979,1353.2783,1626.3374,1749.2423,1888.1351,2072.0377,2173.7822,2108.2928,2111.2126,15082.3184,100.315
보광동,0,956150,1947599,483.5186002,631.083,697.377,1271.491,1487.773,1376.122,1366.778,1265.487,1350.68,9446.791,100.399
보라매동,1,949386.3636,1943710.364,685.3161988,1567.345727,1588.013591,3256.175318,3625.732682,2971.692955,2620.836091,2741.487727,2957.7605,21329.04459,100.36
보문동,0,957623.3333,1953839,241.5373426,1381.692733,1521.723756,2370.743867,2050.742844,2052.779889,2205.652244,1969.734733,2326.715244,15879.78531,100.354
부암동,0,952330.5556,1955785.111,1877.076572,269.4436111,580.581,689.976,544.4402778,652.3313889,660.8267222,610.2467778,725.3826667,4733.228444,100.487
북가좌1동,0,947692.8571,1952963.286,506.4463725,1625.7475,1940.014286,1872.911607,2173.2845,2427.955464,2203.051929,2236.259214,2487.7895,16967.014,100.376
북가좌2동,1,948150,1953731.5,416.0976626,1539.81505,1889.04205,2000.5835,2249.803,2470.03455,2430.952,2365.8985,2576.1112,17522.23985,100.376
북아현동,1,951879.5455,1951039.909,212.3392188,1316.507091,1195.859136,1605.360227,1604.3675,1607.885955,1663.276455,1476.368545,1679.470409,12149.09532,100.384
불광1동,0,949462.9032,1957294.161,212.1636564,1624.007355,1997.611968,3005.219806,3133.043419,3192.317968,3386.790097,3214.888258,3635.940129,23189.819,100.434
불광2동,1,949080.8824,1958366.647,527.1997437,1270.442412,1764.961235,2185.234529,2153.378353,2220.770941,2380.511412,2333.933206,2525.430265,16834.66235,100.434
사근동,1,959644.4444,1951123.074,214.9093826,834.089037,1860.112852,4096.261222,1808.121111,1538.822704,1429.756593,1257.447407,1226.592556,14051.20348,100.308
사당1동,1,953487.5,1942015.667,575.609887,1899.847833,1543.532083,2710.728,2862.64225,2188.0525,2454.77025,2564.769417,2388.516917,18612.85925,100.439
사당2동,0,953575,1945164,98.32220285,118.3358,101.7244,205.0164,216.484,197.5745,181.2073,178.2265,183.1454,1381.7143,100.3065
사당3동,1,953213.0435,1943027.261,268.6415712,1646.682217,1397.339174,2205.200348,2571.949652,2087.136435,2012.295652,2196.394652,2305.22287,16422.221,100.439
사당4동,0,953450,1942799,166.865204,2373.653,1937.846,3431.663,4079.041,3172.568,3041.436,3410.781,3504.45,24951.438,100.439
사직동,1,953356.338,1952844.775,249.7775821,931.5065634,1140.452718,3567.93131,4512.732056,4049.407789,2818.430324,2030.938732,2224.761662,21276.16115,100.3959167
삼각산동,1,957678.5714,1957399,620.0319681,1948.269857,2160.644571,1649.194571,2552.895857,2915.160857,2141.577857,2181.667857,2197.004143,17746.41557,100.357
삼선동,1,957078,1954535,265.5159695,1372.0428,2308.41148,3754.24956,2809.36,2831.56852,2753.09864,2391.59948,2689.03404,20909.36452,100.4097778
삼성1동,1,961019.7531,1946074.926,214.3069039,787.4024506,1471.306963,5212.648475,5908.088228,4201.38408,2603.558265,2050.125556,1731.680568,23966.19459,100.513
삼성2동,1,959997.7778,1945804.556,200.1568054,908.5232333,1487.025711,3842.238567,4852.638822,3758.1066,2698.233556,2494.698667,2302.133344,22343.5985,100.513
삼성동,0,949550,1940432.333,2459.455945,520.7076667,800.6813333,923.5763333,1024.327,1171.251667,1321.288667,1266.624,1258.25,8286.706667,100.428
삼전동,1,963871.9512,1944939.244,235.9982596,1461.578512,1582.799415,2151.163707,2784.760683,2186.094951,2164.395927,2140.434024,1994.831732,16466.05895,100.433
삼청동,1,954126.3158,1953425.316,501.4209321,581.6811053,804.1845263,2111.576895,2497.043526,2150.328053,1514.098421,987.2747895,1127.309842,11773.49716,100.4058571
상계10동,1,961192.5532,1962410.702,283.9740098,1770.080383,2941.106511,3453.874532,2989.906085,3022.880511,3097.667702,2529.129851,2460.590574,22265.23615,100.43
상계1동,0,960850,1964310.29,330.6391434,1151.973355,1485.785145,1802.430484,2071.808677,2169.105806,2431.064613,2221.994081,2171.997435,15506.1596,100.43
상계2동,1,961559.6774,1961892.548,170.2085053,2083.321097,4471.868742,7088.866258,4722.854194,4789.784065,4820.813935,3746.473161,3754.821161,35478.80261,100.43
상계3.4동,0,962755,1963154,203.1872113,1069.9907,1571.75,1701.8772,1727.9274,2086.4436,2258.712,2286.1391,2499.3643,15202.2043,100.43
