,dong,starbucks,X,Y,subway,pop0,pop10,pop20,pop30,pop40,pop50,pop60,pop70,poptotal,landprice,0,1,INTO,miss
41,금호1가?0,958118.1818,1950394.455,0.239507038,0.44477743,-0.118974989,-0.6920740040000001,-0.159833138,-0.149273664,-0.46302398899999997,-0.29310552100000004,-0.129572545,13965.488819999999,-0.481762462,0.653883231,0.346116769,0.0,,1
346,중계2.3?0,961652.2727,1960663.773,-0.7582620990000001,3.0205755930000002,3.163426742,0.729659838,0.990025672,2.2104187090000003,2.440253282,2.513810287,2.783280225,29524.59352,-0.60660904,0.610416131,0.38958386899999997,0.0,,1
376,청운효자,0.0,953454.0323,1953782.065,0.713375322,-1.378345479,-1.1024296470000001,-0.741890157,-0.829257164,-0.981644816,-1.421731764,-1.762587493,-1.5794329409999999,7897.749742,0.18824750699999998,0.450651788,0.5493482120000001,1.0,1
1,가락2동,1.0,967105.3571,1944185.6069999998,-0.641954206,0.529621342,0.45271055,-0.17910311399999998,-0.008592194000000001,0.232686064,0.46092130200000003,0.321633784,0.10083493199999999,17018.696,0.475394637,0.517410168,0.48258983200000005,0.0,1
366,창신3동,0.0,957050.0,1953674.0,-0.68914132,-0.402458595,-0.21847117100000002,-0.6482819670000001,-0.668584242,-0.579642384,-0.6784528740000001,-1.120023064,-0.7308727629999999,11335.6755,0.121662666,0.473796757,0.526203243,1.0,1
292,원효로1?1,952817.5,1948761.5,-0.332558024,0.870180979,-0.420127201,-0.233807118,0.279126305,0.08636148800000001,-0.24234551899999998,-0.319666446,-0.323912622,15380.73745,-1.022764301,0.499105484,0.500894516,1.0,,1
162,삼전동,1.0,963871.9512,1944939.244,-0.644228875,0.708287599,0.146945068,-0.174132695,0.31132099399999996,-0.082716024,0.02284757,0.220896445,-0.029738201000000002,16466.05895,0.517010163,0.544645649,0.455354351,0.0,1
193,성내3동,1.0,967666.0,1947511.0,-0.016433700000000002,-0.365629229,-0.042112287000000005,-0.432089845,-0.454938114,-0.42391527,-0.19665486100000001,-0.15164963,-0.479537765,13453.271,1.8487069969999999,0.51261639,0.48738361,0.0,1
327,잠실본동,1.0,963068.8889,1945326.7780000002,-0.360371636,-0.040043142000000004,-0.125977178,-0.270526771,-0.046526032,-0.326883392,-0.265553115,-0.043875014000000004,-0.066955287,14696.218380000002,0.714683912,0.553200985,0.446799015,0.0,1
371,청구동,0.0,956936.3636,1951053.545,-0.889324615,0.04416465,-0.112221245,-0.112072716,-0.014653741000000001,0.03291057,0.011013686000000002,0.074245937,0.730284247,16265.025,0.8291266079999999,0.45564263,0.54435737,1.0,1
111,목3동,1.0,943742.8571,1949627.571,0.70421171,0.728457391,0.42328076299999995,-0.263308174,-0.053005540999999996,0.00429022,0.29881009,0.37417489,-0.003488197,16526.41421,-0.492166344,0.716864368,0.28313563199999997,0.0,1
51,남현동,1.0,953987.5,1941680.25,0.121857042,0.352422509,-0.414439656,0.378307864,0.153701435,-0.261367719,0.10757218800000001,0.248227745,-0.09199586,16409.7375,-1.105995353,0.6133398170000001,0.386660183,0.0,1
101,면목3.8?0,963967.1053,1953999.0,0.013785743,0.422098975,0.413634675,-0.225260349,-0.402208068,-0.30672624600000004,0.005137758,-0.024679235,0.022670527000000003,15220.20171,-0.929129367,0.7034076109999999,0.296592389,0.0,,1
