dong,starbucks,X,Y,subway,pop0,pop10,pop20,pop30,pop40,pop50,pop60,pop70,poptotal,landprice,0,1,INTO,FN,FT
홍은1동,0,950746.6667,1955087.333,0.052736976,-0.510026479,-0.462686243,-0.786627657,-0.860020261,-0.708452542,-0.468078371,-0.382816188,-0.001513602,11824.11993,-0.128030491,0.728462412,0.271537588,0,FALSE,FALSE
홍은2동,0,949755.0847,1953840.525,2.279781543,-0.305955989,0.321243431,-0.347469809,-0.824206878,-0.69008729,-0.693016473,-0.598011581,-0.393250034,12496.04107,-0.128030491,0.733308899,0.266691101,0,FALSE,FALSE
홍제1동,1,950612,1954227,0.093288187,-0.200928276,-0.232944809,-0.561825203,-0.625423537,-0.436396621,-0.281558153,-0.217817874,0.147719384,13361.48612,-0.284088714,0.691424311,0.308575689,0,TRUE,FALSE
홍제2동,0,951398.2759,1953921.414,-0.642767479,-0.067947772,-0.327638485,-0.610930006,-0.628990733,-0.489493055,-0.289763625,-0.315401037,0.01412357,13056.10083,-0.284088714,0.652506323,0.347493677,0,FALSE,FALSE
홍제3동,0,951066.0714,1954832.929,-0.33756634,-0.013965927,-0.007009373,-0.492592366,-0.588125253,-0.272809528,0.009217553,0.179838546,0.658336806,14801.32118,-0.284088714,0.719735844,0.280264156,0,FALSE,FALSE
화곡1동,1,941552,1948901,0.016407608,1.835701065,0.120122417,-0.258782523,0.060289006,-0.227139235,-0.040524546,0.257302244,0.020010881,16416.3234,-0.284088714,0.686076242,0.313923759,0,TRUE,FALSE
화곡2동,0,942825,1948749,0.756826102,0.580045967,-0.117063225,-0.684310403,-0.437773224,-0.489097715,-0.733006947,-0.360021524,-0.901878937,12532.2775,-0.284088714,0.696758771,0.30324123,0,FALSE,FALSE
화곡3동,0,941375,1949370.429,-0.415410823,1.338173434,0.63122212,0.230540415,0.414956608,0.252089054,0.463002947,0.696967511,0.648609251,19307.47979,-0.284088714,0.599491809,0.400508191,0,FALSE,FALSE
화곡4동,1,943666.6667,1948090.667,0.057253934,0.017522251,-0.113241487,-0.372116489,-0.296960466,-0.293092363,-0.240994026,-0.184689843,-0.303265668,14056.52433,-0.284088714,0.622582228,0.377417772,0,TRUE,FALSE
화곡6동,0,942575,1950495.154,1.46816156,-0.632189755,-0.69090145,-0.216373989,-0.219276161,-0.511024275,-0.390199642,-0.330717854,-0.506085859,13110.11831,-0.284088714,0.65035794,0.34964206,0,FALSE,FALSE
화곡8동,0,942325,1948149,-0.794172955,3.136468033,1.349555647,1.457343794,2.529106001,1.970900594,2.304051885,2.504244163,1.882260227,30240.873,-0.284088714,0.380947314,0.619052686,1,FALSE,TRUE
화곡본동,0,941981.5789,1949488.474,-0.303120363,0.6805644,0.080901113,0.136971982,0.44410747,0.016507083,0.241160004,0.552118198,0.215522945,17709.31674,-0.284088714,0.606879786,0.393120214,0,FALSE,FALSE
화양동,1,962018.6567,1949315.418,-0.634537718,0.03090604,1.896436917,3.944900222,1.21514347,0.597939336,0.594246088,0.301141074,0.261022353,25709.76942,-1.449323443,0.067414633,0.932585367,1,FALSE,FALSE
황학동,1,957657.5,1952104,-0.729324956,0.363063868,-0.503697363,-0.160923315,0.040916176,-0.084680862,0.260972169,0.285959002,0.385121455,16124.9417,1.172454698,0.488769817,0.511230183,1,FALSE,FALSE
회기동,1,960559.0909,1954712.636,-0.012263029,0.048732538,1.118751874,1.710613395,0.122876663,-0.01932323,0.047883295,0.156890821,0.465506552,19706.55082,0.173682073,0.288534646,0.711465354,1,FALSE,FALSE
회현동,1,953700.625,1950958.375,-0.771617846,-0.894034144,-0.859298772,1.014537885,2.580745708,2.598469325,1.826469659,1.101820306,1.272818478,25118.4557,0.386961644,0.072011493,0.927988507,1,FALSE,FALSE
효창동,0,952268.1818,1949185.364,-0.694158829,0.70295847,0.277325778,-0.23171234,-0.091590595,-0.11767538,-0.128268557,0.059215461,0.338794299,15995.12709,-2.833039684,0.763639212,0.236360788,0,FALSE,FALSE
후암동,0,954161.1111,1950295.296,0.890080834,-1.376954503,-1.329795916,-0.998688016,-1.095554351,-1.25183341,-1.428766893,-1.496050106,-1.371519998,7145.107741,-0.94993713,0.694326623,0.305673377,0,FALSE,FALSE
휘경1동,0,961183.9286,1954620.429,-0.546677293,-0.164496856,0.55603884,1.255876616,0.079229647,0.045669362,0.297402702,0.462634717,0.809340391,19272.20107,-1.927901993,0.519487456,0.480512544,0,FALSE,FALSE
휘경2동,0,961964.7059,1954232.824,1.345202478,-0.50623529,-0.295112903,-0.642125722,-0.857226082,-0.774161225,-0.818422482,-0.770716102,-0.70483162,10993.23962,-1.927901993,0.794025303,0.205974698,0,FALSE,FALSE
흑석동,1,952641.6667,1945374,-0.220527329,-1.01807527,-0.760423675,-0.400029684,-0.974489077,-1.105838442,-1.220936753,-1.098451564,-0.961278557,9593.43725,0.225701481,0.531463778,0.468536222,0,TRUE,FALSE
