X.1,id,X,Y,구,동,예측,대여,반납
8451,150439,946900,1946599,영등포구,문래동,73.15618736,38.25130715,34.90488021
8452,151069,946950,1946749,영등포구,문래동,81.35527765,44.97527721,36.38000043
8453,151070,946950,1946699,영등포구,문래동,83.05227193,45.87882935,37.17344258
8454,151071,946950,1946649,영등포구,문래동,78.31906639,42.1803522,36.13871419
8455,151702,947000,1946749,영등포구,문래동,80.6108724,43.93324471,36.67762769
8456,147901,946700,1946899,영등포구,당산1동,89.62628447,47.65213652,41.97414795
8457,148534,946750,1946899,영등포구,당산1동,91.32367123,46.02362321,45.30004801
8458,152969,947100,1946699,영등포구,영등포동,111.5522496,57.55536188,53.99688771
8459,147270,946650,1946799,영등포구,문래동,94.28537964,45.11689456,49.16848508
8460,149802,946850,1946799,영등포구,문래동,77.84172675,40.34006485,37.5016619
8461,152335,947050,1946749,영등포구,문래동,104.9550186,54.79309656,50.16192204
8462,152336,947050,1946699,영등포구,문래동,112.131521,53.75400309,58.37751795
8463,152337,947050,1946649,영등포구,문래동,108.1225554,50.9819159,57.14063945
8464,154241,947200,1946399,영등포구,영등포동,80.72597881,43.78405552,36.94192329
8465,154875,947250,1946349,영등포구,영등포동,80.19431453,38.77047693,41.4238376
8466,155508,947300,1946349,영등포구,영등포동,79.91743699,42.15295883,37.76447816
8467,145379,946500,1946399,영등포구,문래동,83.70459661,34.38165602,49.3229406
8468,146012,946550,1946399,영등포구,문래동,100.1741504,46.40012192,53.77402852
8469,146013,946550,1946349,영등포구,문래동,97.034249,44.58119869,52.4530503
8470,146645,946600,1946399,영등포구,문래동,95.97075747,44.78184383,51.18891364
8471,146646,946600,1946349,영등포구,문래동,93.71173147,45.22840278,48.48332869
8472,146647,946600,1946299,영등포구,문래동,86.24580574,39.60446917,46.64133656
8473,146648,946600,1946249,영등포구,문래동,84.23234709,40.045743,44.18660409
8474,147912,946700,1946349,영등포구,문래동,92.02767611,43.64972805,48.37794806
8475,148545,946750,1946349,영등포구,문래동,94.25070892,46.3328999,47.91780902
8476,148549,946750,1946149,영등포구,문래동,88.54280082,42.99262579,45.55017503
8477,149178,946800,1946349,영등포구,문래동,103.6192011,51.57008317,52.04911791
8478,149182,946800,1946149,영등포구,문래동,87.65979676,42.94683413,44.71296262
8479,149184,946800,1946049,영등포구,문래동,60.48764731,28.65726664,31.83038066
8480,149810,946850,1946399,영등포구,문래동,95.33348486,45.86209583,49.47138903
8481,150441,946900,1946499,영등포구,문래동,94.32685929,47.25041867,47.07644061
8482,150442,946900,1946449,영등포구,문래동,92.81190796,45.87845772,46.93345024
8483,150443,946900,1946399,영등포구,문래동,97.74521784,47.72019746,50.02502038
